Name,IP/Subnet,StartIP,EndIP,ip2longStart,ip2longStop
หอประวัติ/หอเฉลิมพระเกียรติ,10.158.112.0/20,10.158.112.0,10.158.127.255,178155520,178159615
ศูนย์ธรรมชาติวิทยา (วิทยาศาสตร์),10.158.128.0/20,10.158.128.0,10.158.143.255,178159616,178163711
ศวท มช. (วิทยาศาสตร์),10.158.144.0/20,10.158.144.0,10.158.159.255,178163712,178167807
not describe,10.158.160.0/20,10.158.160.0,10.158.175.255,178167808,178171903
not describe,10.159.0.0/17,10.159.0.0,10.159.127.255,178192384,178225151
Reserved IP Point-to-Point,10.159.255.0/24,10.159.255.0,10.159.255.255,178257664,178257919
คณะวิศวกรรมศาสตร์,10.160.0.0/16,10.160.0.0,10.160.255.255,178257920,178323455
คณะสถาปัตยกรรมศาสตร์,10.161.0.0/16,10.161.0.0,10.161.255.255,178323456,178388991
อาคารนวัตกรรม (TLIC),10.162.0.0/16,10.162.0.0,10.162.255.255,178388992,178454527
คลีนิกไผ่ล้อม,10.163.0.0/16,10.163.0.0,10.163.255.255,178454528,178520063
คณะสาธารณสุขศาสตร์,10.164.0.0/16,10.164.0.0,10.164.255.255,178520064,178585599
not describe,10.165.0.0/16,10.165.0.0,10.165.255.255,178585600,178651135
not describe,10.166.0.0/16,10.166.0.0,10.166.255.255,178651136,178716671
not describe,10.167.0.0/16,10.167.0.0,10.167.255.255,178716672,178782207
not describe,10.168.0.0/16,10.168.0.0,10.168.255.255,178782208,178847743
not describe,10.169.0.0/16,10.169.0.0,10.169.255.255,178847744,178913279
not describe,10.170.0.0/16,10.170.0.0,10.170.255.255,178913280,178978815
not describe,10.171.0.0/16,10.171.0.0,10.171.255.255,178978816,179044351
(แบ่ง VLSM),10.172.0.0/16,10.172.0.0,10.172.255.255,179044352,179109887
หอพักนักศึกษาชาย 1,10.172.0.0/20,10.172.0.0,10.172.15.255,179044352,179048447
หอพักนักศึกษาชาย 2,10.172.16.0/20,10.172.16.0,10.172.31.255,179048448,179052543
หอพักนักศึกษาชาย 3,10.172.32.0/20,10.172.32.0,10.172.47.255,179052544,179056639
หอพักนักศึกษาชาย 4,10.172.48.0/20,10.172.48.0,10.172.63.255,179056640,179060735
หอพักนักศึกษาชาย 5,10.172.64.0/20,10.172.64.0,10.172.79.255,179060736,179064831
หอพักนักศึกษาชาย 6,10.172.80.0/20,10.172.80.0,10.172.95.255,179064832,179068927
หอพักนักศึกษาชาย 7,10.172.96.0/20,10.172.96.0,10.172.111.255,179068928,179073023
not describe,10.172.112.0/20,10.172.112.0,10.172.127.255,179073024,179077119
not describe,10.172.128.0/17,10.172.128.0,10.172.255.255,179077120,179109887
(แบ่ง VLSM),10.173.0.0/16,10.173.0.0,10.173.255.255,179109888,179175423
หอพักนักศึกษาหญิง 1,10.173.0.0/20,10.173.0.0,10.173.15.255,179109888,179113983
หอพักนักศึกษาหญิง 2,10.173.16.0/20,10.173.16.0,10.173.31.255,179113984,179118079
หอพักนักศึกษาหญิง 3,10.173.32.0/20,10.173.32.0,10.173.47.255,179118080,179122175
หอพักนักศึกษาหญิง 4,10.173.48.0/20,10.173.48.0,10.173.63.255,179122176,179126271
หอพักนักศึกษาหญิง 5,10.173.64.0/20,10.173.64.0,10.173.79.255,179126272,179130367
หอพักนักศึกษาหญิง 6,10.173.80.0/20,10.173.80.0,10.173.95.255,179130368,179134463
หอพักนักศึกษาหญิง 7,10.173.96.0/20,10.173.96.0,10.173.111.255,179134464,179138559
หอพักนักศึกษาหญิง 8,10.173.112.0/20,10.173.112.0,10.173.127.255,179138560,179142655
หอพัก 40 ปี,10.173.128.0/20,10.173.128.0,10.173.143.255,179142656,179146751
หอพักสีชมพู,10.173.144.0/20,10.173.144.0,10.173.159.255,179146752,179150847
not describe,10.173.160.0/19,10.173.160.0,10.173.191.255,179150848,179159039
not describe,10.173.192.0/18,10.173.192.0,10.173.255.255,179159040,179175423
(แบ่ง VLSM),10.174.0.0/16,10.174.0.0,10.174.255.255,179175424,179240959
โรงยิมกลาง,10.174.0.0/20,10.174.0.0,10.174.15.255,179175424,179179519
สโมสรนักศึกษา,10.174.16.0/20,10.174.16.0,10.174.31.255,179179520,179183615
สนามกีฬากลาง,10.174.32.0/20,10.174.32.0,10.174.47.255,179183616,179187711
วัดฝายหิน/ธรรมะสถาน,10.174.48.0/20,10.174.48.0,10.174.63.255,179187712,179191807
แฟลตสุเทพ 2-8,10.174.64.0/20,10.174.64.0,10.174.79.255,179191808,179195903
อาคาร IC เดิม,10.174.80.0/20,10.174.80.0,10.174.95.255,179195904,179199999
not describe,10.174.96.0/20,10.174.96.0,10.174.111.255,179200000,179204095
not describe,10.174.112.0/20,10.174.112.0,10.174.127.255,179204096,179208191
not describe,10.174.128.0/20,10.174.128.0,10.174.143.255,179208192,179212287
not describe,10.174.144.0/20,10.174.144.0,10.174.159.255,179212288,179216383
not describe,10.174.160.0/20,10.174.160.0,10.174.175.255,179216384,179220479
not describe,10.174.176.0/20,10.174.176.0,10.174.191.255,179220480,179224575
not describe,10.174.192.0/18,10.174.192.0,10.174.255.255,179224576,179240959
not describe,10.175.0.0/17,10.175.0.0,10.175.127.255,179240960,179273727
Reserved IP Point-to-Point,10.175.255.0/24,10.175.255.0,10.175.255.255,179306240,179306495
คณะเกษตรศาสตร์,10.176.0.0/16,10.176.0.0,10.176.255.255,179306496,179372031
คณะบริหารธุรกิจ,10.177.0.0/16,10.177.0.0,10.177.255.255,179372032,179437567
คณะศึกษาศาสตร์,10.178.0.0/16,10.178.0.0,10.178.255.255,179437568,179503103
คณะวิจิตรศิลป์,10.179.0.0/16,10.179.0.0,10.179.255.255,179503104,179568639
บัณฑิตวิทยาลัย,10.180.0.0/16,10.180.0.0,10.180.255.255,179568640,179634175
สถาบันวิจัยสังคม,10.181.0.0/16,10.181.0.0,10.181.255.255,179634176,179699711
สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยี,10.182.0.0/16,10.182.0.0,10.182.255.255,179699712,179765247
ศูนย์วิจัยทรัพยากรหลังเก็บเกี่ยว,10.183.0.0/16,10.183.0.0,10.183.255.255,179765248,179830783
สถาบันภาษา,10.184.0.0/16,10.184.0.0,10.184.255.255,179830784,179896319
สำนักส่งเสริมศิลปวัฒนธรรม,10.185.0.0/16,10.185.0.0,10.185.255.255,179896320,179961855
not describe,10.186.0.0/16,10.186.0.0,10.186.255.255,179961856,180027391
not describe,10.187.0.0/16,10.187.0.0,10.187.255.255,180027392,180092927
not describe,10.188.0.0/16,10.188.0.0,10.188.255.255,180092928,180158463
